"Financial Quarter And Year Name - Reported","Postcode - Incident","Offence Level 1 Description","Offence Level 2 Description","Offence Level 3 Description","Offence Count"
"Q2-2012/2013","","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q2-2012/2013","","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q2-2012/2013","","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","5"
"Q2-2012/2013","","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","2"
"Q3-2012/2013","0872","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","7"
"Q3-2012/2013","0872","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","1"
"Q3-2012/2013","5000","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","2"
"Q3-2012/2013","5000","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","Other unlawful entry with intent","1"
"Q3-2012/2013","5000","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from motor vehicle","1"
"Q3-2012/2013","5000","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","5"
"Q3-2012/2013","5000","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Other acts intended to cause injury","2"
"Q3-2012/2013","5000","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","18"
"Q3-2012/2013","5000","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","1"
"Q3-2012/2013","5000","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","3"
"Q3-2012/2013","5006","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"Q3-2012/2013","5008","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q3-2012/2013","5008","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","2"
"Q3-2012/2013","5008","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","7"
"Q3-2012/2013","5008","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","1"
"Q3-2012/2013","5009","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q3-2012/2013","5009","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","5"
"Q3-2012/2013","5009","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","1"
"Q3-2012/2013","5010","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","2"
"Q3-2012/2013","5011","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q3-2012/2013","5011","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q3-2012/2013","5011","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"Q3-2012/2013","5012","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","2"
"Q3-2012/2013","5012","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q3-2012/2013","5012","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","13"
"Q3-2012/2013","5012","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","3"
"Q3-2012/2013","5012","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","3"
"Q3-2012/2013","5013","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","2"
"Q3-2012/2013","5013","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"Q3-2012/2013","5013","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","5"
"Q3-2012/2013","5014","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","2"
"Q3-2012/2013","5014","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q3-2012/2013","5014","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Other acts intended to cause injury","2"
"Q3-2012/2013","5014","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","11"
"Q3-2012/2013","5014","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","1"
"Q3-2012/2013","5014","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Abduction, harassment and other offences","1"
"Q3-2012/2013","5015","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","3"
"Q3-2012/2013","5015","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","2"
"Q3-2012/2013","5015","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Other acts intended to cause injury","1"
"Q3-2012/2013","5015","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","11"
"Q3-2012/2013","5016","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","3"
"Q3-2012/2013","5016","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","SCT - Residence","2"
"Q3-2012/2013","5016","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft/Illegal Use of MV","1"
"Q3-2012/2013","5016","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","2"
"Q3-2012/2013","5016","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","5"
"Q3-2012/2013","5016","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","1"
"Q3-2012/2013","5017","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","2"
"Q3-2012/2013","5017","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"Q3-2012/2013","5017","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q3-2012/2013","5017","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","7"
"Q3-2012/2013","5017","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","2"
"Q3-2012/2013","5018","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q3-2012/2013","5018","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","2"
"Q3-2012/2013","5018","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","2"
"Q3-2012/2013","5019","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q3-2012/2013","5019","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","2"
"Q3-2012/2013","5019","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","2"
"Q3-2012/2013","5019","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","1"
"Q3-2012/2013","5020","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","2"
"Q3-2012/2013","5021","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q3-2012/2013","5021","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","3"
"Q3-2012/2013","5021","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Dangerous or negligent acts","1"
"Q3-2012/2013","5022","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q3-2012/2013","5022","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","4"
"Q3-2012/2013","5023","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q3-2012/2013","5023","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Other acts intended to cause injury","1"
"Q3-2012/2013","5023","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","11"
"Q3-2012/2013","5023","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","1"
"Q3-2012/2013","5023","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","1"
"Q3-2012/2013","5024","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q3-2012/2013","5024","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","3"
"Q3-2012/2013","5024","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","1"
"Q3-2012/2013","5025","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q3-2012/2013","5025","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q3-2012/2013","5025","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","5"
"Q3-2012/2013","5025","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Abduction, harassment and other offences","1"
"Q3-2012/2013","5031","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","3"
"Q3-2012/2013","5032","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"Q3-2012/2013","5033","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","3"
"Q3-2012/2013","5035","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","3"
"Q3-2012/2013","5037","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q3-2012/2013","5037","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"Q3-2012/2013","5038","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q3-2012/2013","5038","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","2"
"Q3-2012/2013","5039","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q3-2012/2013","5039","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q3-2012/2013","5039","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","2"
"Q3-2012/2013","5040","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"Q3-2012/2013","5041","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"Q3-2012/2013","5042","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q3-2012/2013","5042","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","4"
"Q3-2012/2013","5043","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","Other unlawful entry with intent","1"
"Q3-2012/2013","5043","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"Q3-2012/2013","5043","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","6"
"Q3-2012/2013","5043","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","1"
"Q3-2012/2013","5044","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q3-2012/2013","5044","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"Q3-2012/2013","5045","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","2"
"Q3-2012/2013","5045","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Abduction, harassment and other offences","1"
"Q3-2012/2013","5046","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q3-2012/2013","5046","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","3"
"Q3-2012/2013","5046","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Abduction, harassment and other offences","1"
"Q3-2012/2013","5047","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q3-2012/2013","5047","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"Q3-2012/2013","5048","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","Other unlawful entry with intent","1"
"Q3-2012/2013","5048","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"Q3-2012/2013","5048","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","2"
"Q3-2012/2013","5048","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","1"
"Q3-2012/2013","5049","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q3-2012/2013","5049","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","5"
"Q3-2012/2013","5049","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","1"
"Q3-2012/2013","5051","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"Q3-2012/2013","5051","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Abduction, harassment and other offences","1"
"Q3-2012/2013","5052","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Abduction, harassment and other offences","1"
"Q3-2012/2013","5061","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"Q3-2012/2013","5062","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q3-2012/2013","5062","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","2"
"Q3-2012/2013","5062","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","1"
"Q3-2012/2013","5062","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Abduction, harassment and other offences","1"
"Q3-2012/2013","5062","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","1"
"Q3-2012/2013","5063","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Property damage by fire or explosion","1"
"Q3-2012/2013","5063","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"Q3-2012/2013","5063","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","7"
"Q3-2012/2013","5064","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"Q3-2012/2013","5064","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","6"
"Q3-2012/2013","5065","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"Q3-2012/2013","5066","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q3-2012/2013","5067","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"Q3-2012/2013","5067","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","4"
"Q3-2012/2013","5067","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","1"
"Q3-2012/2013","5068","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","5"
"Q3-2012/2013","5068","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","1"
"Q3-2012/2013","5068","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Abduction, harassment and other offences","1"
"Q3-2012/2013","5069","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","SCT - Residence","1"
"Q3-2012/2013","5069","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Other acts intended to cause injury","2"
"Q3-2012/2013","5069","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"Q3-2012/2013","5070","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","2"
"Q3-2012/2013","5070","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","7"
"Q3-2012/2013","5070","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","1"
"Q3-2012/2013","5072","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","3"
"Q3-2012/2013","5072","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Abduction, harassment and other offences","1"
"Q3-2012/2013","5073","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","6"
"Q3-2012/2013","5074","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","9"
"Q3-2012/2013","5074","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","1"
"Q3-2012/2013","5074","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Abduction, harassment and other offences","1"
"Q3-2012/2013","5074","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","1"
"Q3-2012/2013","5075","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q3-2012/2013","5075","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"Q3-2012/2013","5075","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","1"
"Q3-2012/2013","5075","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","1"
"Q3-2012/2013","5076","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","3"
"Q3-2012/2013","5076","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","1"
"Q3-2012/2013","5081","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q3-2012/2013","5081","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","3"
"Q3-2012/2013","5081","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","1"
"Q3-2012/2013","5081","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","1"
"Q3-2012/2013","5082","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","2"
"Q3-2012/2013","5082","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","Other unlawful entry with intent","2"
"Q3-2012/2013","5082","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Other acts intended to cause injury","1"
"Q3-2012/2013","5082","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","4"
"Q3-2012/2013","5083","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q3-2012/2013","5083","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","SCT - Residence","1"
"Q3-2012/2013","5083","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","3"
"Q3-2012/2013","5083","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Dangerous or negligent acts","1"
"Q3-2012/2013","5084","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","2"
"Q3-2012/2013","5084","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","SCT - Residence","1"
"Q3-2012/2013","5084","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q3-2012/2013","5084","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","13"
"Q3-2012/2013","5084","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","1"
"Q3-2012/2013","5084","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","2"
"Q3-2012/2013","5085","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","3"
"Q3-2012/2013","5085","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","Other unlawful entry with intent","1"
"Q3-2012/2013","5085","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"Q3-2012/2013","5085","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","5"
"Q3-2012/2013","5085","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Other acts intended to cause injury","1"
"Q3-2012/2013","5085","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","13"
"Q3-2012/2013","5085","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Dangerous or negligent acts","1"
"Q3-2012/2013","5086","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","2"
"Q3-2012/2013","5086","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","Other unlawful entry with intent","1"
"Q3-2012/2013","5086","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"Q3-2012/2013","5086","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","3"
"Q3-2012/2013","5086","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","7"
"Q3-2012/2013","5086","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","2"
"Q3-2012/2013","5087","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft/Illegal Use of MV","1"
"Q3-2012/2013","5087","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","2"
"Q3-2012/2013","5087","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Other acts intended to cause injury","2"
"Q3-2012/2013","5087","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","6"
"Q3-2012/2013","5087","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","1"
"Q3-2012/2013","5087","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","1"
"Q3-2012/2013","5088","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q3-2012/2013","5088","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Other acts intended to cause injury","2"
"Q3-2012/2013","5088","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"Q3-2012/2013","5088","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","1"
"Q3-2012/2013","5089","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q3-2012/2013","5089","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","2"
"Q3-2012/2013","5089","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","7"
"Q3-2012/2013","5090","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q3-2012/2013","5090","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"Q3-2012/2013","5090","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Abduction, harassment and other offences","1"
"Q3-2012/2013","5091","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q3-2012/2013","5091","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"Q3-2012/2013","5092","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","5"
